Class,Property,Code,n
Alginate,Absorption,3,5
Alginate,Adherence,2,5
Alginate,BacterialBarrier,1,5
Alginate,Conformability,2,5
Alginate,Cost,2,5
Alginate,Cushioning,1,5
Alginate,EaseRemoval,2,5
Alginate,Gelling,3,5
Alginate,HeavyExudate,3,5
Alginate,MVTR,1,5
Foam,Absorption,2,2
Foam,Absorption,3,3
Foam,Adherence,2,1
Foam,Adherence,3,4
Foam,BacterialBarrier,2,5
Foam,Conformability,3,5
Foam,Cost,2,5
Foam,Cushioning,3,5
Foam,EaseRemoval,2,1
Foam,EaseRemoval,3,4
Foam,Gelling,1,5
Foam,HeavyExudate,2,1
Foam,HeavyExudate,3,4
Foam,MVTR,2,5
Hydrocolloid,Absorption,2,5
Hydrocolloid,Adherence,1,1
Hydrocolloid,Adherence,2,2
Hydrocolloid,Adherence,3,2
Hydrocolloid,BacterialBarrier,2,5
Hydrocolloid,Conformability,2,3
Hydrocolloid,Conformability,3,2
Hydrocolloid,Cost,2,5
Hydrocolloid,Cushioning,1,4
Hydrocolloid,Cushioning,2,1
Hydrocolloid,EaseRemoval,2,3
Hydrocolloid,EaseRemoval,3,2
Hydrocolloid,Gelling,2,1
Hydrocolloid,Gelling,3,4
Hydrocolloid,HeavyExudate,1,4
Hydrocolloid,HeavyExudate,2,1
Hydrocolloid,MVTR,2,4
Hydrocolloid,MVTR,3,1
Hydrofiber,Absorption,3,5
Hydrofiber,Adherence,3,5
Hydrofiber,BacterialBarrier,2,4
Hydrofiber,BacterialBarrier,3,1
Hydrofiber,Conformability,3,5
Hydrofiber,Cost,1,3
Hydrofiber,Cost,2,2
Hydrofiber,Cushioning,2,5
Hydrofiber,EaseRemoval,3,5
Hydrofiber,Gelling,3,5
Hydrofiber,HeavyExudate,3,5
Hydrofiber,MVTR,2,5
Hydrogel,Absorption,1,5
Hydrogel,Adherence,3,5
Hydrogel,BacterialBarrier,1,5
Hydrogel,Conformability,3,5
Hydrogel,Cost,2,4
Hydrogel,Cost,3,1
Hydrogel,Cushioning,1,5
Hydrogel,EaseRemoval,3,5
Hydrogel,Gelling,1,5
Hydrogel,HeavyExudate,1,5
Hydrogel,MVTR,3,5
