.y.,group1,group2,n1,n2,statistic,p,p.adj,p.adj.signif
Code,Alginate,Foam,5,5,0,1,1,ns
Code,Alginate,Hydrocolloid,5,5,0,1,1,ns
Code,Alginate,Hydrofiber,5,5,-2.4271195048676715,0.015219241743104696,0.13697317568794226,ns
Code,Alginate,Hydrogel,5,5,0.741619848709566,0.45831769413307977,1,ns
Code,Foam,Hydrocolloid,5,5,0,1,1,ns
Code,Foam,Hydrofiber,5,5,-2.4271195048676715,0.015219241743104696,0.13697317568794226,ns
Code,Foam,Hydrogel,5,5,0.741619848709566,0.45831769413307977,1,ns
Code,Hydrocolloid,Hydrofiber,5,5,-2.4271195048676715,0.015219241743104696,0.13697317568794226,ns
Code,Hydrocolloid,Hydrogel,5,5,0.741619848709566,0.45831769413307977,1,ns
Code,Hydrofiber,Hydrogel,5,5,3.1687393535772372,0.0015310162758119736,0.015310162758119736,*
